fen,score,move
rnbq1rk1/pp3ppp/3b1n2/1N1pp3/8/1P2PN2/PB1PBPPP/R2QK2R b KQ -,21,e5e4
rnbqkbnr/pppp1p1p/8/8/3PPpp1/5N2/PPP3PP/RNBQKB1R w KQkq -,-58,f3e5
rn1qk2r/pp2ppbp/2p3p1/3nN3/3P4/2P5/PP2QPPP/RNB2RK1 b kq -,21,b8d7
rn1qkb1r/pp2pppp/8/3n4/2B3b1/2N2N2/PP1P1PPP/R1BQK2R b KQkq -,115,d5c3
8/8/8/3K4/8/2k5/8/1R6 w - -,mate 11,b1d1
1k6/2p1Rpp1/p1b3np/2p5/P7/1PNP2B1/2P3PP/6K1 b - -,100,g6e7
r1bq1rk1/1p3pb1/2pp1npp/p3p3/Pn1PP1P1/2N1B2P/1PP1NPB1/R2Q1RK1 w - -,62,f2f4
r3r1k1/1p3pp1/p1p1b2p/6q1/3P1n1P/P3R1N1/1PBQ1PP1/R5K1 b - -,10,g5d8
8/8/8/8/1k6/3K4/4r3/8 b - -,mate -15,e2e8
8/8/8/8/8/3K4/7k/5Q2 w - -,mate 4,d3e4
8/8/8/1B3p2/5K2/4p1P1/7k/8 b - -,mate 18,h2g2
r1bqk1nr/1pp2pp1/pbnp3p/4p3/PPB1P3/2PP1N2/5PPP/RNBQK2R w KQkq -,23,d1b3
8/1K6/1B6/8/4B3/8/8/3k4 w - -,mate 25,e4f5
6k1/7p/3P1pp1/1pb5/3NP3/1r5P/2p3P1/2R3K1 b - -,-891,c5d4
8/4Q3/8/4k3/1P6/P3p3/4K3/2q5 b - -,335,e5f5
3r1k1r/4qpbp/p1B1b3/1p2p3/8/N1P5/PP3PPP/R2QK2R w KQ -,-82,d1c2
rn3rk1/pp4pp/2p1R3/2bn4/2B5/3P3P/PqPBQPP1/4R1K1 w - -,98,d3d4
4r1k1/p2nRpp1/1p1P1n1p/2pq4/7B/P4N2/1PQ2PPP/1K6 w - -,-15,c2e2
r1bqk2r/pppp1ppp/5n2/1Bb1n3/3PP3/8/PPP2PPP/RNBQ1RK1 b kq -,33,a7a6
3r1n1r/1Pp1kbp1/1n3p2/RP1P3p/4P3/3BBN1P/5PP1/5RK1 w - -,957,f1c1
1k6/2p1npp1/p1b4p/2p5/P7/1PNP2B1/2P3PP/6K1 w - -,109,g3f2
rnbq1rk1/pp3ppp/3b1n2/1N1p4/4p3/1P2PN2/PB1PBPPP/R2QK2R w KQ -,25,f3d4
5rqk/6bp/7P/4Q3/3B4/8/6P1/6K1 w - -,mate 2,h6g7
rnbqkbnr/pppp1p1p/8/6p1/3PPp2/5N2/PPP3PP/RNBQKB1R b KQkq -,-64,g5g4
rn3rk1/2qbbppp/p2ppn1B/8/Np1NP3/1B4Q1/PPP2PPP/R3R1K1 b - -,0,f6e8
rnbq1rk1/pp3ppp/3b1n2/1N1pN3/4p3/1P2P3/PB1PBPPP/R2QK2R b KQ -,0,d6e7
r1bqk1nr/ppp3pp/2nb1p2/1B1pp3/8/1P2PN2/PBPP1PPP/RN1QK2R w KQkq -,-9,e1h1
r1b1k2r/ppp1q1pp/2pbnp2/4p3/2N1P3/2NPB3/PPPQ1PPP/R3K2R w KQkq -,9,c4d6
8/4k2K/6P1/8/8/8/8/8 w - -,mate 11,g6g7
8/2r3pp/1R6/3pk3/1P6/3K3P/8/8 w - -,-7,h3h4
r1bqkb1r/pp2pppp/2n2n2/2pp4/3P4/2PBP3/PP3PPP/RNBQK1NR w KQkq -,-17,d4c5
rn1q1rk1/pp2ppbp/2p3p1/3nN3/3P4/2P5/PP2QPPP/RNB2RK1 w - -,26,e5f3
r1bqk2r/ppp2ppp/2np3n/2b1p1N1/2B1P3/3P1Q2/PPP2PPP/RNB1K2R b KQkq -,-82,e8h8
1k6/2p1npp1/p1b4p/2p5/P7/1PNP4/2P2BPP/6K1 b - -,110,e7d5
rnbqkb1r/pp2pppp/2p2n2/8/2pP4/4PN2/PP3PPP/RNBQKB1R w KQkq -,62,f1c4
2Q2rk1/5ppp/8/pp1RP3/8/1pP5/1P3PPP/3R2K1 b - -,mate 6,f7f6
rnbqkb1r/pp3ppp/4pn2/8/3Q1B2/2N2NP1/PP2PP1P/R3KB1R b KQkq -,47,c8d7
rn1qkb1r/pp3ppp/4p3/3n4/2B3b1/2N2N2/PP1P1PPP/R1BQK2R w KQkq -,426,d1a4
8/8/8/5Q2/8/3K4/8/6k1 w - -,mate 4,d3e3
rnbqk2r/ppp2ppp/4pn2/6B1/1bpP4/4PN2/PP1N1PPP/R2QKB1R b KQkq -,-4,b7b5
8/8/8/1B3p2/5K2/4p1P1/6k1/8 w - -,mate 18,b5e2
r1bqkb1r/pp1ppppp/2n5/2pnP3/2P5/5N2/PP1P1PPP/RNBQKB1R b KQkq -,-53,d5c7
1R6/2r3pp/8/3pk3/1P6/3K3P/8/8 b - -,-13,c7c4
3r2k1/pp5p/6p1/2Pp3q/4N3/4B1K1/PP2Pr2/R1Q1R2B b - -,mate -10,h5h2
r1bq1rk1/pp3ppp/2N2n2/1Bbp4/8/2NP4/PPP2PPP/R1BQK2R b KQ -,-4,b7c6
8/4Q3/8/8/1P1k4/P3p3/4K3/2q5 w - -,372,e7f6
r1bq1rk1/p1pp1ppp/2p2n2/8/1b2P3/2NB4/PPP2PPP/R1BQK2R w KQ -,7,e1h1
rn2nrk1/2qbbppp/p2pp2B/8/Np1NP3/1B4Q1/PPP2PPP/R3R1K1 w - -,16,d4f3
r2qk2r/pp1nbpp1/2p1p2p/7P/3Pn3/3Q1N2/PPPB1PP1/2KR3R w kq -,27,d3e4
8/1K6/5r2/P7/1k6/8/8/8 b - -,mate -10,b4c5
5R2/P5k1/6p1/2n3b1/2N5/5p2/8/5K2 w - -,mate 10,a7a8q
r2qkb1r/ppp2ppp/5n2/3Pp3/2Bn2b1/2NP1N2/PPP2PPP/R1BQK2R w KQkq -,7,c3e4
1k6/2p2pp1/p1b4p/2pn4/P7/1PNP4/2P2BPP/6K1 w - -,91,c3e4
3r3r/1p4k1/p1bR4/5p1p/2P2P2/8/PP2B1P1/3KR3 w - -,10,d6d8
r7/3bkq2/p1Bbp2Q/6p1/8/4B1P1/PPP4P/6K1 w - -,554,h6g5
r1bqkb1r/pp2pppp/2n2n2/2pp4/3P1P2/2PBP3/PP4PP/RNBQK1NR b KQkq -,-67,c8g4
1R6/6pp/8/3pk3/1Pr5/3K3P/8/8 w - -,-12,b8b7
rnbq1rk1/ppp1b1pp/1n6/4pp2/8/2NPB1P1/PP2PPBP/2RQK1NR w K -,31,g1f3
6k1/7p/3P1pp1/1p6/3bP3/1r5P/2p3PK/2R5 b - -,-903,d4e5
r2q3k/1b4bp/p7/1pP5/1P4p1/P3Qr2/5PNP/2B2R1K w - -,-701,e3e1
rnbqkb1r/pppp1ppp/4pn2/8/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq -,34,d7d5
rnbqkb1r/pp3ppp/4pn2/3p4/2PN4/6P1/PP2PP1P/RNBQKB1R w KQkq -,0,f1g2
8/8/3Q4/8/1P1k4/P3p3/4K3/2q5 b - -,416,d4e4
8/8/8/4r3/1k6/3K4/8/8 w - -,mate -14,d3d4
rn1qkb1r/pb3ppp/2pppn2/1p6/4P3/5NP1/PPPPQPBP/RNB2RK1 w kq -,86,e4e5
8/8/8/6Q1/8/3K4/8/7k w - -,mate 3,d3e2
rnbq1rk1/pp3ppp/3b1n2/1N1p4/3Np3/1P2P3/PB1PBPPP/R2QK2R b KQ -,26,d6e7
8/1K6/1B6/8/8/5B2/2k5/8 w - -,mate 24,b7c6
rn1q1rk1/pp2ppbp/2p3p1/3nN3/3P4/2P5/PP1NQPPP/R1B2RK1 b - -,26,b8d7
r2r2k1/2Q2ppp/8/4p3/p7/Pn5P/5PP1/3R2K1 b - -,-572,d8d1
8/8/8/5p2/5K2/4p1P1/4B1k1/8 b - -,mate 16,g2f2
r4rk1/1pbq2p1/2p1p3/2Pp1p1p/1P1Pn3/p3P1P1/P1Q2PBP/R3BRK1 b - -,-14,e6e5
5r1k/7p/p7/3p1pp1/R2P1Pb1/2P1r2Q/1P1N3P/4R1K1 b - -,-64,e3e1
4b1rr/4k1R1/4pp1n/pp1pP2P/2pP1R2/P1P2B1N/2PK1P2/8 b - -,53,g8g7
1R6/6pp/3k4/1P1p4/2r5/3K3P/8/8 w - -,-4,b8b7
rnbq1rk1/ppp1b1pp/1n6/4pp2/8/2NPBNP1/PP2PPBP/2RQK2R b K -,21,b8c6
8/1R4pp/3k4/1P1p4/2r5/3K3P/8/8 b - -,0,d6c5
rnbq1rk1/pp3ppp/5n2/1N1pb3/3Np3/1P2P3/PB1PBPPP/R2QK2R w KQ -,28,d4e6
r4r1k/5p1Q/b2ppp2/q3P3/1p3P2/1R6/P5PP/5R1K b - -,0,h8h7
r1bqk2r/pppp1ppp/2n2n2/4N3/1b1PP3/2N5/PPP2PPP/R1BQKB1R b KQkq -,31,d8e7
r1br2k1/pp3ppp/2n1p3/3n4/2N5/2P1B1P1/P3PPBP/R4RK1 w - -,-2,f1d1
2r3k1/4bp2/7p/2PQ2p1/4n3/qN2P1B1/5PPP/1R4K1 b - -,78,a3b4
rn1q1rk1/p3bppp/bpp1pn2/3pN3/2PP4/1P4P1/P1QBPPBP/RN3RK1 b - -,-8,d5c4
r4rk1/ppp1q1pp/1nn1pb2/5b2/2PP4/2N1BN2/PP1QB1PP/3R1RK1 b - -,60,a8e8
8/8/8/3K4/8/8/2k5/3R4 w - -,mate 9,d1d4
4b2r/4k1r1/4pp1n/pp1pP2P/2pP1R2/P1P2B1N/2PK1P2/8 w - -,54,e5f6
r2qkb1r/pp3ppp/1n1p1n2/1N2p3/4P3/2N5/PPP2PPP/R1BQK2R w KQkq -,-13,a2a4
2R5/P5k1/6p1/2n3b1/2N5/5p2/8/5K2 b - -,mate 13,c5e6
2r3k1/5ppp/8/pp1RP3/8/1pP5/1P3PPP/3R2K1 w - -,mate 2,d5d8
rn3r1k/4Np1p/3pn2P/q3p3/pb2P3/1P2QP2/4BPR1/BK4R1 b - -,40,b8d7
8/8/8/4r3/1k1K4/8/8/8 b - -,mate -14,e5e1
6k1/7p/3P1pp1/1p2b3/4P3/1r5P/2p3PK/2R5 w - -,-909,g2g3
rnbqk1nr/pppp1ppp/8/2b1p3/4PP2/5N2/PPPP2PP/RNBQKB1R b KQkq -,0,d7d6
r5k1/2Q2ppp/8/4p3/p7/Pn5P/5PP1/3r2K1 w - -,-561,g1h2
r2qk2r/pp1nbpp1/2p1p2p/7P/3PQ3/5N2/PPPB1PP1/2KR3R b kq -,25,d7f6
r1b5/4kq2/p1Bbp2Q/6p1/8/4B1P1/PPP4P/6K1 b - -,527,c8d7
5rk1/4npp1/2qNb2p/3p4/3b2P1/p2Q2B1/P1B2PP1/1R4K1 b - -,-5,e7g6
8/8/8/7Q/8/3K4/8/6k1 w - -,mate 4,d3e3
8/8/8/5p2/5K2/4p1P1/4Bk2/8 w - -,mate 16,e2f3
8/4k1PK/8/8/8/8/8/8 b - -,mate 10,e7d6
3Q1k2/6r1/8/4K3/8/8/8/8 b - -,mate 12,f8f7
r2q2k1/6bp/p1np4/1p6/5r2/2P5/PPQ2PBP/R3K2R w KQ -,-17,g2c6
R7/P5k1/8/8/2P5/1K6/8/1r6 w - -,mate 30,b3a2
2r1r1k1/3Q1p2/7R/4N1p1/P4n2/7P/1q3PP1/4R1K1 b - -,4366,f4e2
rnbqnrk1/ppp1ppbp/3p2p1/4P3/2BP1B2/5N2/PPP1QPPP/RN2K2R b KQ -,39,b8c6
8/6Rp/3k4/1P1p4/7r/3K3P/8/8 b - -,-3,h4h3
rn1q1rk1/p2nbppp/bpp1p3/3pN3/2PPP3/1P4P1/P1QB1PBP/RN3RK1 b - -,-114,d7e5
2R5/P5k1/4n1p1/6b1/2N5/5p2/8/5K2 w - -,mate 9,a7a8q
r4r1k/3nNp1p/3pn2P/q3p3/pb2P3/1P2QP2/4BPR1/BK4R1 w - -,45,e7c6
r1bqk2r/pppp1ppp/2n2n2/4N3/3PP3/2b5/PPP2PPP/R1BQKB1R w KQkq -,29,b2c3
rnb1kbnr/ppp1pppp/8/3q4/8/7P/PPPP1PP1/RNBQKBNR b KQkq -,1,c7c5
r1br2k1/pp3ppp/2n1p3/3n4/2N5/2P1B1P1/P3PPBP/R2R2K1 b - -,-4,d5c3
rnbqk2r/ppp2ppp/4pn2/3p2B1/1bPP4/2N2N2/PP2PPPP/R2QKB1R b KQkq -,11,h7h6
r1bq1rk1/p4ppp/2p2n2/1Bbp4/8/2NP4/PPP2PPP/R1BQK2R w KQ -,0,d3d4
2r1r1k1/5p2/7R/4N1p1/P4n2/7P/q4PP1/3QR1K1 b - -,275,c8b8
8/6PK/3k4/8/8/8/8/8 w - -,mate 10,h7g6
rnbqkb1r/pp2pppp/2p2n2/8/2BP4/4PN2/PP3PPP/RNBQK2R b KQkq -,69,c6c5
r2qkb1r/pp2pppp/2n2n2/2pp4/3P1Pb1/2PBP3/PP4PP/RNBQK1NR w KQkq -,-69,g1f3
8/6Rp/3k4/1P1p4/8/3K3r/8/8 w - -,0,d3c2
r1bq1rk1/1p3pb1/2pp1npp/p3p3/Pn1PP1P1/2N1B2P/1PPQNPB1/R4RK1 b - -,46,h6h5
8/3B4/5k2/p4p2/1P3P1p/P2b3K/6P1/8 w - -,703,b4a5
r1bqr1k1/3nbp1p/p2p1npB/1pp1p3/3PP2N/1BP4P/PP1N1PP1/R2QR1K1 w - -,1,h4f3
8/8/8/5p2/5K2/4pBP1/5k2/8 b - -,mate 14,e3e2
r1bq1rk1/1pp1npp1/3p1n1p/p3p1N1/P1B1P3/3PPQ2/1PPN2PP/R4RK1 w Q -,-22,g5h3
2r1r1k1/5p2/7R/4N1p1/P4n2/7P/1q3PP1/3QR1K1 w - -,6209,d1d7
r1bq1rk1/ppp1b1pp/1nn5/4pp2/8/2NPBNP1/PP2PPBP/2RQ1RK1 b - -,12,g8h8
rn1q1rk1/p3bppp/bpp1p3/3pn3/2PPP3/1P4P1/P1QB1PBP/RN3RK1 w - -,-113,d4e5
3Q4/5kr1/8/5K2/8/8/8/8 b - -,mate 11,g7g1
7K/8/8/8/8/3Q4/5pk1/8 w - -,0,d3g6
r1bqk1nr/pp1pppbp/2n3p1/8/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq -,24,c1e3
rnbq1rk1/pp4pp/4pn2/1N1pB3/4p3/1P2P3/P2PBPPP/R2QK2R b KQ -,11,b8c6
3R3r/1p4k1/p1b5/5p1p/2P2P2/8/PP2B1P1/3KR3 b - -,29,h8d8
r2q1rk1/pp1nppbp/2p3p1/3nN3/3P4/2P5/PP1NQPPP/R1B2RK1 w - -,31,d2f3
r1bqk1nr/ppp3pp/2nb1p2/1B1pp3/2P5/1P2PN2/PB1P1PPP/RN1QK2R b KQkq -,-10,a7a6
rn1qkb1r/pb3ppp/2pppn2/1p6/4P3/3P1NP1/PPP1QPBP/RNB2RK1 b kq -,33,f8e7
8/1K6/5r2/P1k5/8/8/8/8 w - -,mate -9,b7c8
2r3k1/4bp2/7p/2PQ2p1/1q2n3/1N2P1B1/5PPP/1R4K1 w - -,80,d5d3
8/6Rp/3k4/1P1p4/3K4/7r/8/8 b - -,-2,h3h4
2rR2k1/5ppp/8/pp2P3/8/1pP5/1P3PPP/3R2K1 b - -,mate 1,c8d8
r1bqk2r/pppp1ppp/2n2n2/4N3/3PP3/2P5/P1P2PPP/R1BQKB1R b KQkq -,33,d8e7
2n2rk1/6p1/2q1b3/b2pBppQ/2pP4/p1P5/P1B2PP1/1R3NK1 b - -,167,a5d8
3r2k1/5ppp/8/pp2P3/8/1pP5/1P3PPP/3R2K1 w - -,mate 1,d1d8
Q1R5/6k1/4n1p1/6b1/2N5/5p2/8/5K2 b - -,mate 7,g5f6
rnbqkb1r/3p1ppp/p3pn2/1PpP4/8/4P3/PP3PPP/RNBQKBNR w KQkq -,59,d5e6
1b1r4/4pQ1p/pp3ppk/2p2P2/P4P2/2P5/2P4P/7K b - -,21,b8f4
r4rk1/1pbq2p1/2p5/2Pppp1p/1P1Pn3/p3P1P1/P1Q2PBP/R3BRK1 w - -,-10,d4e5
r2q1rk1/ppp1b1pp/1nn1b3/4pp2/8/2NPBNP1/PP2PPBP/2RQ1RK1 w - -,22,b2b4
8/6Rp/3k4/1P1p4/3K3r/8/8/8 w - -,0,d4e3
r4rkb/1p1q1b1p/2np1n1P/2p1p1B1/2P2pPN/pPNP4/P2Q1P2/2KBR1R1 w - -,92,d1f3
8/3B4/5k2/P4p2/5P1p/P2b3K/6P1/8 b - -,775,f6e7
8/8/6p1/5P1k/8/8/8/7K b - -,0,g6f5
rn1qkb1r/p1p1pp1p/1p2b1p1/8/2pP3B/2P1P3/P4PPP/1R1QKBNR w Kkq -,0,g1h3
rnbqkb1r/pp1p1ppp/4pn2/8/2PN4/2N5/PP2PPPP/R1BQKB1R b KQkq -,7,d7d5
8/8/8/3K4/3R4/8/2k5/8 b - -,mate 9,c2b3
8/8/8/2r5/1k6/4K3/8/8 b - -,mate -15,b4c3
4b2r/6k1/4p2n/pp1p3P/2pP1R2/P1P2B1N/2PK1P2/8 w - -,36,h3g1
r1bqk2r/pp1pppbp/2n2np1/8/3NP3/2N1B3/PPP2PPP/R2QKB1R w KQkq -,26,f1c4
3r4/1p4k1/p1b5/5p1p/2P2P2/8/PP2B1P1/3KR3 w - -,26,d1c2
r2q1rk1/pp1nppbp/2p3p1/3nN3/3P4/2P2N2/PP2QPPP/R1B2RK1 b - -,25,d7e5
rnbqkbnr/pppp1p1p/8/8/4PppP/5N2/PPPP2P1/RNBQKB1R w KQkq -,-15,f3e5
2n2rk1/6p1/2q1b3/b2pBp1Q/2pP2p1/p1P5/P1B2PP1/1R3NK1 w - -,160,f1g3
6k1/7p/3P1pp1/1p2b3/4P3/6rP/2p4K/2R5 w - -,-960,h2h1
8/1K6/P4r2/2k5/8/8/8/8 b - -,mate -7,f6f7
rn3rk1/pp4pp/2p1R3/3n4/2Bb4/7P/PqPBQPP1/4R1K1 w - -,102,e6e8
6Q1/7K/3k4/8/8/8/8/8 b - -,mate 9,d6c5
8/6Rp/3k4/1P1p4/7r/2K5/8/8 b - -,-3,d6c5
r1bqk1nr/pp2ppbp/2n5/2pp1P2/8/2N2N2/PPPP2PP/R1BQKB1R w KQkq -,-88,f1b5
5r1k/7p/p7/3p1pp1/R2P1Pb1/2P4r/1P1N3P/4R1K1 w - -,0,f4g5
8/8/8/3K4/3R4/1k6/8/8 w - -,mate 8,d4c4
8/8/8/2r5/2k5/4K3/8/8 w - -,mate -14,e3e4
r2qkb1r/pp3ppp/2n1pn2/2pp4/3P1Pb1/2PBPN2/PP4PP/RNBQK2R w KQkq -,-67,e1h1
6Q1/7K/8/2k5/8/8/8/8 w - -,mate 9,h7g6
8/3Bk3/8/P4p2/5P1p/P2b3K/6P1/8 w - -,822,d7c8
rq2n1k1/1b3ppp/pp1bp3/8/3PN3/3B1NP1/PP2QP1P/2R3K1 w - -,185,f3g5
r2qk2r/pp2bpp1/2p1pn1p/7P/3PQ3/5N2/PPPB1PP1/2KR3R w kq -,28,e4e2
rnbqkb1r/pp3ppp/4pn2/3p4/2PN4/2N5/PP2PPPP/R1BQKB1R w KQkq -,6,e2e3
2r1r1k1/5p2/7R/4NQp1/P4n2/1q5P/5PP1/4R1K1 b - -,mate 17,f4g6
8/8/8/7Q/8/8/4K1k1/8 w - -,mate 3,h5g5
rn2k2r/pp2nppp/3p4/3P4/2P2pbq/5N2/PP1PK1PP/R1BQ1B1R b kq -,-241,e8h8
3r4/1p4k1/p1b5/5p1p/2P2P2/8/PPK1B1P1/4R3 b - -,27,g7f6
8/6Rp/8/1Pkp4/7r/2K5/8/8 w - -,0,g7g5
r1bqk1nr/1pp3pp/p1nb1p2/1B1pp3/2P5/1P2PN2/PB1P1PPP/RN1QK2R w KQkq -,-9,b5c6
8/8/1B6/2K5/8/4kB2/8/8 w - -,mate 16,f3c6
r1b2rk1/1p2q1bp/p2p2p1/2pPnp1n/P7/2NBP2P/1P1N1PPB/R2Q1RK1 w - -,18,d3e2
rnbqkbnr/ppp1pppp/8/3p4/2P5/4P3/PP1P1PPP/RNBQKBNR b KQkq -,0,e7e6
7K/8/8/8/8/6k1/4Qp2/8 b - -,0,g3g2
r4rk1/pp2ppbp/3pbnp1/q7/2P1P3/2N1B3/PP1QBPPP/R4RK1 w - -,39,a1b1
rn1q1rk1/p2nbppp/bpp1p3/3pN3/2PP4/1P4P1/P1QBPPBP/RN3RK1 w - -,17,e5f3
2B5/4k3/8/P4p2/5P1p/P2b3K/6P1/8 b - -,846,d3c4
8/8/2k5/Q4B2/8/4K3/8/8 b - -,mate 5,c6d6
r1bq1rk1/1p3pb1/2pp1npp/p3p3/Pn1PP1P1/2N1B1NP/1PP2PB1/R2Q1RK1 b - -,47,h6h5
8/1K3r2/P7/2k5/8/8/8/8 w - -,mate -6,b7c8
2r1r1k1/5p2/6nR/4NQp1/P7/1q5P/5PP1/4R1K1 w - -,mate 17,h6g6
8/8/8/2r5/2k1K3/8/8/8 b - -,mate -12,c4c3
r1b1k2r/p1p3pp/1ppqnp2/8/4Pp2/3PB3/PPPQN1PP/R3K2R w KQkq -,0,e3f4
8/8/8/5p2/5K2/5BP1/4pk2/8 w - -,mate 19,f3e2
r1bqk2r/pp1pppbp/2n2np1/8/2BNP3/2N1B3/PPP2PPP/R2QK2R b KQkq -,21,e8h8
8/8/8/7Q/8/4K3/6k1/8 b - -,mate 3,g2g3
8/8/3k4/Q4B2/8/4K3/8/8 w - -,mate 5,e3d4
rnbqkb1r/pp3ppp/4pn2/3P4/3N4/2N5/PP2PPPP/R1BQKB1R b KQkq -,0,f6d5
R4n2/6p1/P3k3/5Nb1/2p5/5p2/8/5K2 w - -,633,a8f8
r2qkb1r/pp3ppp/2n1pn2/2pp4/3P1Pb1/2PBPN2/PP4PP/RNBQ1RK1 b kq -,-68,f8d6
8/1R5p/8/1Pkp4/7r/2K5/8/8 b - -,-2,h4h1
rn2Rrk1/pp4pp/2p5/3n4/2Bb4/7P/PqPBQPP1/4R1K1 b - -,104,b8d7
8/3RK1k1/4P3/8/8/8/8/r7 w - -,0,d7d6
8/8/8/7Q/8/4K1k1/8/8 w - -,mate 3,h5g6
8/8/8/5p2/5K2/6P1/4Bk2/8 b - -,mate 13,f2e1
2B5/4k3/8/P4p2/2b2P1p/P6K/6P1/8 w - -,916,h3h4
rnbqkbnr/pppp1p1p/8/6p1/2B1Pp2/5N2/PPPP2PP/RNBQK2R b KQkq -,-94,g5g4
rnbqkb1r/pp2pppp/8/8/8/2P2N2/PP3PPP/R1BQKB1R b KQkq -,22,d8d1
rn3rk1/pp2nppp/3p4/3P4/2P2pbq/5N2/PP1PK1PP/R1BQ1B1R w - -,-233,d1e1
r1b1k2r/p1p3pp/1ppqnp2/8/4PN2/3PB3/PPPQ2PP/R3K2R b KQkq -,0,c6c5
rnbqkb1r/pppppppp/8/3nP3/2P5/8/PP1P1PPP/RNBQKBNR b KQkq -,53,d5b6
rn1qkb1r/pbpn1ppp/1p2p3/3pP3/3P4/2NB4/PPP1NPPP/R1BQ1RK1 b kq -,82,g7g6
3r4/1p6/p1b2k2/5p1p/2P2P2/8/PPK1B1P1/4R3 w - -,28,e1h1
r1bqk2r/pp2ppbp/2np1np1/8/2BNP3/2N1B3/PPP2PPP/R2QK2R w KQkq -,29,f2f3
r2q1rk1/pp2ppbp/2p2np1/3nN3/3P4/2P2N2/PP2QPPP/R1B2RK1 w - -,96,c3c4
rnbqk2r/ppp2ppp/4pn2/6B1/1bpP4/5N2/PP1NPPPP/R2QKB1R w KQkq -,-2,e2e3
r1bqk2r/pppp1ppp/5n2/1Bb5/3PP3/5n2/PPP2PPP/RNBQ1RK1 w kq -,414,d1f3
Q1R5/6k1/4nbp1/8/2N5/5p2/8/5K2 w - -,mate 7,c8g8
rn1q1rk1/p3bppp/bpp1p3/3pP3/2P1P3/1P4P1/P1QB1PBP/RN3RK1 b - -,-127,d5c4
8/8/8/3r4/2k1K3/8/8/8 w - -,mate -11,e4e3
rnbqkbnr/ppp1pppp/8/8/2p5/4P3/PP1P1PPP/RNBQKBNR w KQkq -,29,f1c4
8/p2p2pk/1p3r1p/6pq/3P4/1B2PPQP/P4K2/3R4 w - -,546,d1c1
8/1kPK4/8/8/8/8/8/8 b - -,mate 6,b7a6
rnbqkb1r/ppp2ppp/4pn2/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR w KQkq -,32,e4e5
8/8/8/5K2/8/6P1/4k3/8 b - -,mate 12,e2e1
rnbqkb1r/3p1ppp/p3Pn2/1Pp5/8/4P3/PP3PPP/RNBQKBNR b KQkq -,62,f7e6
rnb1kb1r/pp2pppp/8/8/8/2P2N2/PP3PPP/R1BqKB1R w KQkq -,26,e1d1
r4rk1/1p1q1b1p/2np1b1P/2p1p1P1/2P2p1N/pPNP4/P2Q1P2/2KBR1R1 b - -,68,f6d8
r2qkb1r/pp3ppp/2n1pn2/2pp1b2/3P1P2/2PBPN2/PP4PP/RNBQ1RK1 w kq -,-50,d3f5
r2qk2r/pp2bpp1/2p1pn1p/7P/3P4/5N2/PPPBQPP1/2KR3R b kq -,26,d8d5
2r3k1/4bp2/7p/2P3p1/1q2n3/1N1QP1B1/5PPP/1R4K1 b - -,85,e4c5
8/1R2K1k1/4P3/8/8/8/8/r7 b - -,0,g7g6
8/8/8/2K5/3R4/2k5/8/8 w - -,mate 8,d4d5
r2qk2r/pppbbppp/2np1n2/1B2p3/4PP2/2NP1N2/PPP3PP/R1BQK2R w KQkq -,95,b5c6
rn3rk1/pp2nppp/3p4/3P4/2P2pbq/5N2/PP1PK1PP/R1B1QB1R b - -,-237,h4f6
8/2PK4/k7/8/8/8/8/8 w - -,mate 6,c7c8q
R7/P5k1/8/8/2P5/K7/8/1r6 b - -,1332,b1e1
8/8/8/3r4/2k5/4K3/8/8 b - -,mate -11,d5d4
3r4/1p6/p1b2k2/5p1p/2P2P2/8/PPK1B1P1/7R b - -,25,d8g8
rn1qkb1r/p1p1pp1p/1p2b1p1/8/2pP3B/2P1P2N/P4PPP/1R1QKB1R b Kkq -,7,f8h6
r1bqkb1r/1ppp1pp1/p1n5/4p3/B3P1p1/8/PPPP1PPN/RNBQ1RK1 b kq -,mate -9,d8h4
r2qk2r/pppbbppp/2np1n2/1B2pP2/4P3/2NP1N2/PPP3PP/R1BQK2R b KQkq -,14,a7a6
rnbqkb1r/pppppppp/8/4P3/2P2n2/8/PP1P1PPP/RNBQKBNR w KQkq -,148,d2d4
Q5R1/6k1/4nbp1/8/2N5/5p2/8/5K2 b - -,mate 6,g7h6
r2q1rk1/pp2ppbp/2p2np1/3nN3/3P4/2P2N2/PP1BQPPP/R4RK1 b - -,76,f6d7
r1bqk1nr/1pp3pp/p1Bb1p2/3pp3/2P5/1P2PN2/PB1P1PPP/RN1QK2R b KQkq -,-12,b7c6
8/8/8/2K5/8/2k5/8/3R4 b - -,mate 8,c3c2
2n2rk1/6p1/2q1b3/b2pBp1Q/2pP2p1/p1P3N1/P1B2PP1/1R4K1 b - -,177,c6d7
1K6/5r2/P7/2k5/8/8/8/8 b - -,mate -3,c5c6
r1bqkbnr/pp1ppppp/2n5/2p5/4P3/1P6/P1PP1PPP/RNBQKBNR w KQkq -,-9,g1f3
8/8/8/2K5/8/8/2k5/3R4 w - -,mate 8,d1d8
r2qkb1r/pp1nnppp/4p3/2ppPb2/2PP4/4BN2/PP2BPPP/RN1QK2R w KQkq -,51,e1h1
rn1qk2r/pp1bbppp/3P1p2/1Bp5/8/2N2Q2/PPP3PP/2K1R1NR b kq -,585,d7b5
8/8/1B6/2KB4/5k2/8/8/8 w - -,0,c5d6
