fen,score,move
r5k1/p4pb1/4rnpp/1p2p3/4P1P1/3NBP2/1PP4P/R3K2R w KQ -,170,a1a7
8/8/8/8/3K4/5kN1/3Q4/8 w - -,mate 4,g3f1
r5k1/R4pb1/4rnpp/1p2p3/4P1P1/3NBP2/1PP4P/4K2R b K -,160,a8a7
6k1/5pb1/5npp/1p2p3/4P1P1/3NBP2/1PP4P/r3K2R w K -,164,e3c1
8/5kp1/6N1/5K2/4N3/8/8/8 b - -,mate 22,f7e8
8/8/6p1/8/4p1P1/6k1/5N2/6K1 w - -,0,f2e4
r1bq1rk1/1pp3bp/n2p1pp1/p1nPp1P1/2P1P3/2N1BN1P/PP2BP2/R2QK2R w KQ -,45,g5f6
R4nk1/6p1/P7/5Nb1/8/2p2p2/8/5K2 b - -,531,c3c2
rnbqkb1r/pppp1ppp/4pn2/8/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq -,12,d7d5
rnbqkbnr/pp2pppp/8/3p4/3P4/2N5/PP2PPPP/R1BQKBNR b KQkq -,7,g8f6
8/8/5pk1/6pp/3P4/1r4P1/2R2K1P/8 w - -,0,c2d2
r1bq1rk1/pppnppbp/3p1npB/8/3PP3/5P2/PPPQ2PP/RN2KBNR w KQ -,58,b1c3
8/8/6p1/8/4N1P1/6k1/8/6K1 b - -,0,g3g4
4k3/6p1/6N1/5K2/4N3/8/8/8 w - -,mate 22,f5e6
2r1r1k1/5p2/6R1/4NQp1/P7/1q5P/5PP1/4R1K1 b - -,mate 15,f7g6
1q2r2k/3n1Qbp/4p1p1/3bN3/1p4P1/1P5P/rB4BK/2RR4 w - -,-1038,c1c2
3r4/1p4k1/p1bPR3/5p2/2B2P1p/8/PP4P1/4K3 w - -,267,e1f2
7r/p1q1kp2/2p1pp2/2p2B2/8/8/PPPP3P/R1BQR1rK w - -,mate -6,h1g1
rnbqkbnr/pp1ppppp/8/2p5/4P3/2P5/PP1P1PPP/RNBQKBNR b KQkq -,0,g8f6
3r4/4Rbk1/3P4/pp3p2/5P1p/P2B4/1P3KP1/8 w - -,504,d3b5
3r4/4R1k1/3P4/pp1b1p2/5P1p/P2B4/1P3KP1/8 b - -,329,g7f6
3r4/1p3k2/p1bPR3/5p2/2B2P1p/8/PP4P1/4K3 b - -,132,b7b5
7r/1p6/p1bP2k1/4Rp2/5P1p/8/PP4P1/3K1B2 w - -,112,f1d3
3qrk2/p1r2pp1/1p2pb2/nP1bN2Q/3PN3/P6R/5PPP/R5K1 w - -,mate 3,h5f7
2kr1b1r/pp1npppp/2p1bn2/7q/5B2/2NB1Q1P/PPP1N1P1/2KR3R w - -,mate 2,f3c6
r4n1k/pp2r3/2p1PN1p/3p1P2/8/8/PPPK4/6R1 w - -,mate 1,g1g8
r4n1k/pp2r1p1/2p1PN1R/3p1P2/8/8/PPPK4/6R1 b - -,mate 1,g7h6
rn1qkb1r/1b2pppp/p2p4/1p4P1/3N2Q1/4B3/PPP2P1P/R3KBR1 b Qkq -,-56,g7g6
8/8/2N2k2/8/1p6/p3p3/K7/8 w - -,0,c6b4
2k5/1n3K2/1p2P3/pB6/P7/5r2/5p2/3R4 w - -,0,f7g7
1R6/4qppk/6n1/b2p2Pp/2pP2b1/p1P5/P1B1rPPB/2Q2NK1 w - -,132,h2e5
1R6/4qppk/6n1/b2pB1Pp/2pP2b1/p1P5/P1B1rPP1/2Q2NK1 b - -,189,e7e6
rn2k2r/ppp2p1p/4bp2/8/2p1PP2/2N5/PP4PP/R3KB1R b KQkq -,30,c7c6
